"These data reflect data in the 2025 Medicaid and CHIP Scorecard website at the time of download. If the user sorted these data on the website, the sorting will not carry over into this file.",""
"Opening this file in Excel may alter the formatting of some values. In particular, Excel may add or remove trailing zeros in decimal places regardless of original formatting. Please open the file in a text editor or equivalent to see the values as they were exported.",""
Date of download: 05/27/2026,""
Measure name:,"Enrollment of Dually Eligible Individuals"
Measure description:,"Number and percentage of Medicaid enrollees who are dually eligible for Medicaid and Medicare benefits."
Data source:,"Quarterly Enrollment Snapshots"

Month,Number of Full-Benefit Dually Eligible Individuals
June 2017,"7,608,377"
September 2017,"7,634,811"
December 2017,"7,634,322"
March 2018,"7,631,395"
June 2018,"7,658,051"
September 2018,"7,694,319"
December 2018,"7,716,557"
March 2019,"7,741,760"
June 2019,"7,748,218"
September 2019,"7,810,868"
December 2019,"7,814,352"
March 2020,"7,800,565"
June 2020,"7,888,961"
September 2020,"8,040,486"
December 2020,"8,175,250"
March 2021,"8,318,724"
June 2021,"8,419,219"
September 2021,"8,538,906"
December 2021,"8,641,158"
March 2022,"8,713,998"
June 2022,"8,828,557"
September 2022,"9,024,537"
December 2022,"9,173,827"
March 2023,"9,397,533"
June 2023,"9,452,101"
September 2023,"9,312,223"
December 2023,"9,097,237"
March 2024,"8,975,731"
June 2024,"8,673,747"
