"These data reflect data in the 2025 Medicaid and CHIP Scorecard website at the time of download. If the user sorted these data on the website, the sorting will not carry over into this file.",""
"Opening this file in Excel may alter the formatting of some values. In particular, Excel may add or remove trailing zeros in decimal places regardless of original formatting. Please open the file in a text editor or equivalent to see the values as they were exported.",""
Date of download: 05/27/2026,""
Measure name:,"Medicaid and CHIP Enrollment"
Measure description:,"Number of Medicaid and Children's Health Insurance Program (CHIP) enrollees by state."
Data source:,"Medicaid and CHIP Performance Indicators"

Enrollment Category,Month,Number of Enrollees
Total Medicaid and CHIP Enrollment,June 2017,"73,578,497"
Total Medicaid and CHIP Enrollment,July 2017,"73,538,243"
Total Medicaid and CHIP Enrollment,August 2017,"73,540,423"
Total Medicaid and CHIP Enrollment,September 2017,"73,376,600"
Total Medicaid and CHIP Enrollment,October 2017,"73,523,773"
Total Medicaid and CHIP Enrollment,November 2017,"73,556,074"
Total Medicaid and CHIP Enrollment,December 2017,"73,669,903"
Total Medicaid and CHIP Enrollment,January 2018,"73,408,315"
Total Medicaid and CHIP Enrollment,February 2018,"73,517,782"
Total Medicaid and CHIP Enrollment,March 2018,"73,485,554"
Total Medicaid and CHIP Enrollment,April 2018,"73,252,863"
Total Medicaid and CHIP Enrollment,May 2018,"73,070,257"
Total Medicaid and CHIP Enrollment,June 2018,"72,827,775"
Total Medicaid and CHIP Enrollment,July 2018,"72,777,508"
Total Medicaid and CHIP Enrollment,August 2018,"72,631,939"
Total Medicaid and CHIP Enrollment,September 2018,"72,402,103"
Total Medicaid and CHIP Enrollment,October 2018,"72,346,346"
Total Medicaid and CHIP Enrollment,November 2018,"72,160,651"
Total Medicaid and CHIP Enrollment,December 2018,"72,074,751"
Total Medicaid and CHIP Enrollment,January 2019,"72,197,350"
Total Medicaid and CHIP Enrollment,February 2019,"72,143,954"
Total Medicaid and CHIP Enrollment,March 2019,"72,130,473"
Total Medicaid and CHIP Enrollment,April 2019,"71,969,015"
Total Medicaid and CHIP Enrollment,May 2019,"71,856,113"
Total Medicaid and CHIP Enrollment,June 2019,"71,748,114"
Total Medicaid and CHIP Enrollment,July 2019,"71,803,386"
Total Medicaid and CHIP Enrollment,August 2019,"71,819,205"
Total Medicaid and CHIP Enrollment,September 2019,"71,777,667"
Total Medicaid and CHIP Enrollment,October 2019,"71,709,083"
Total Medicaid and CHIP Enrollment,November 2019,"71,457,844"
Total Medicaid and CHIP Enrollment,December 2019,"71,395,619"
Total Medicaid and CHIP Enrollment,January 2020,"71,536,743"
Total Medicaid and CHIP Enrollment,February 2020,"71,446,354"
Total Medicaid and CHIP Enrollment,March 2020,"71,756,304"
Total Medicaid and CHIP Enrollment,April 2020,"72,941,401"
Total Medicaid and CHIP Enrollment,May 2020,"74,114,304"
Total Medicaid and CHIP Enrollment,June 2020,"75,104,821"
Total Medicaid and CHIP Enrollment,July 2020,"76,078,374"
Total Medicaid and CHIP Enrollment,August 2020,"77,007,274"
Total Medicaid and CHIP Enrollment,September 2020,"77,812,208"
Total Medicaid and CHIP Enrollment,October 2020,"78,570,184"
Total Medicaid and CHIP Enrollment,November 2020,"79,372,331"
Total Medicaid and CHIP Enrollment,December 2020,"80,227,007"
Total Medicaid and CHIP Enrollment,January 2021,"80,847,000"
Total Medicaid and CHIP Enrollment,February 2021,"81,342,775"
Total Medicaid and CHIP Enrollment,March 2021,"81,984,822"
Total Medicaid and CHIP Enrollment,April 2021,"82,515,622"
Total Medicaid and CHIP Enrollment,May 2021,"82,960,992"
Total Medicaid and CHIP Enrollment,June 2021,"83,489,140"
Total Medicaid and CHIP Enrollment,July 2021,"84,022,921"
Total Medicaid and CHIP Enrollment,August 2021,"84,660,537"
Total Medicaid and CHIP Enrollment,September 2021,"85,188,633"
Total Medicaid and CHIP Enrollment,October 2021,"85,689,167"
Total Medicaid and CHIP Enrollment,November 2021,"86,217,519"
Total Medicaid and CHIP Enrollment,December 2021,"86,746,301"
Total Medicaid and CHIP Enrollment,January 2022,"87,299,357"
Total Medicaid and CHIP Enrollment,February 2022,"87,736,578"
Total Medicaid and CHIP Enrollment,March 2022,"88,227,525"
Total Medicaid and CHIP Enrollment,April 2022,"88,649,677"
Total Medicaid and CHIP Enrollment,May 2022,"89,138,201"
Total Medicaid and CHIP Enrollment,June 2022,"89,618,605"
Total Medicaid and CHIP Enrollment,July 2022,"90,283,567"
Total Medicaid and CHIP Enrollment,August 2022,"90,853,134"
Total Medicaid and CHIP Enrollment,September 2022,"91,316,698"
Total Medicaid and CHIP Enrollment,October 2022,"91,768,957"
Total Medicaid and CHIP Enrollment,November 2022,"92,258,545"
Total Medicaid and CHIP Enrollment,December 2022,"92,808,776"
Total Medicaid and CHIP Enrollment,January 2023,"93,411,163"
Total Medicaid and CHIP Enrollment,February 2023,"93,828,166"
Total Medicaid and CHIP Enrollment,March 2023,"94,349,705"
Total Medicaid and CHIP Enrollment,April 2023,"94,648,751"
Total Medicaid and CHIP Enrollment,May 2023,"94,369,804"
Total Medicaid and CHIP Enrollment,June 2023,"93,235,204"
Total Medicaid and CHIP Enrollment,July 2023,"92,202,188"
Total Medicaid and CHIP Enrollment,August 2023,"90,855,927"
Total Medicaid and CHIP Enrollment,September 2023,"89,279,604"
Total Medicaid and CHIP Enrollment,October 2023,"88,103,002"
Total Medicaid and CHIP Enrollment,November 2023,"86,683,508"
Total Medicaid and CHIP Enrollment,December 2023,"85,739,534"
Total Medicaid and CHIP Enrollment,January 2024,"84,828,066"
Total Medicaid and CHIP Enrollment,February 2024,"84,164,199"
Total Medicaid and CHIP Enrollment,March 2024,"83,429,782"
Total Medicaid and CHIP Enrollment,April 2024,"82,374,132"
Total Medicaid and CHIP Enrollment,May 2024,"81,454,136"
Total Medicaid and CHIP Enrollment,June 2024,"80,568,903"
Total Medicaid and CHIP Enrollment,July 2024,"80,228,368"
Total Medicaid and CHIP Enrollment,August 2024,"80,154,004"
Total Medicaid and CHIP Enrollment,September 2024,"79,998,395"
Total Medicaid and CHIP Enrollment,October 2024,"79,824,083"
Total Medicaid and CHIP Enrollment,November 2024,"79,577,836"
Total Medicaid and CHIP Enrollment,December 2024,"79,146,955"
Total Medicaid and CHIP Enrollment,January 2025,"79,374,463"
Total Medicaid and CHIP Enrollment,February 2025,"79,281,046"
Total Medicaid and CHIP Enrollment,March 2025,"79,089,778"
Total Medicaid and CHIP Enrollment,April 2025,"78,846,684"
Medicaid Child and CHIP Enrollment,June 2017,"35,728,560"
Medicaid Child and CHIP Enrollment,July 2017,"35,718,997"
Medicaid Child and CHIP Enrollment,August 2017,"35,736,482"
Medicaid Child and CHIP Enrollment,September 2017,"35,677,809"
Medicaid Child and CHIP Enrollment,October 2017,"35,750,904"
Medicaid Child and CHIP Enrollment,November 2017,"35,735,438"
Medicaid Child and CHIP Enrollment,December 2017,"35,746,621"
Medicaid Child and CHIP Enrollment,January 2018,"35,711,465"
Medicaid Child and CHIP Enrollment,February 2018,"35,753,952"
Medicaid Child and CHIP Enrollment,March 2018,"35,720,794"
Medicaid Child and CHIP Enrollment,April 2018,"35,620,342"
Medicaid Child and CHIP Enrollment,May 2018,"35,534,838"
Medicaid Child and CHIP Enrollment,June 2018,"35,426,351"
Medicaid Child and CHIP Enrollment,July 2018,"35,426,693"
Medicaid Child and CHIP Enrollment,August 2018,"35,399,722"
Medicaid Child and CHIP Enrollment,September 2018,"35,295,238"
Medicaid Child and CHIP Enrollment,October 2018,"35,259,467"
Medicaid Child and CHIP Enrollment,November 2018,"35,147,599"
Medicaid Child and CHIP Enrollment,December 2018,"35,071,968"
Medicaid Child and CHIP Enrollment,January 2019,"35,080,824"
Medicaid Child and CHIP Enrollment,February 2019,"35,032,834"
Medicaid Child and CHIP Enrollment,March 2019,"34,996,178"
Medicaid Child and CHIP Enrollment,April 2019,"34,900,396"
Medicaid Child and CHIP Enrollment,May 2019,"34,804,604"
Medicaid Child and CHIP Enrollment,June 2019,"35,586,911"
Medicaid Child and CHIP Enrollment,July 2019,"35,583,549"
Medicaid Child and CHIP Enrollment,August 2019,"35,603,830"
