"These data reflect data in the 2025 Medicaid and CHIP Scorecard website at the time of download. If the user sorted these data on the website, the sorting will not carry over into this file.",""
"Opening this file in Excel may alter the formatting of some values. In particular, Excel may add or remove trailing zeros in decimal places regardless of original formatting. Please open the file in a text editor or equivalent to see the values as they were exported.",""
Date of download: 05/27/2026,""
Measure name:,"Medicaid Expansion Adult Enrollment"
Measure description:,"Number and percentage of adults enrolled in Medicaid who were eligible due to Medicaid expansion, by state."
Data source:,"Medicaid Budget and Expenditure System (MBES) Enrollment"

Month,Number of Medicaid Expansion Adult Enrollees
January 2016,"14,556,566"
February 2016,"14,608,480"
March 2016,"14,684,923"
April 2016,"14,705,753"
May 2016,"14,746,658"
June 2016,"14,782,994"
July 2016,"15,055,201"
August 2016,"15,061,950"
September 2016,"14,950,167"
October 2016,"15,258,117"
November 2016,"15,363,103"
December 2016,"15,442,029"
January 2017,"15,759,258"
February 2017,"15,754,432"
March 2017,"15,677,401"
April 2017,"17,325,983"
May 2017,"17,322,598"
June 2017,"17,246,011"
July 2017,"17,261,826"
August 2017,"17,177,167"
September 2017,"16,990,561"
October 2017,"15,564,990"
November 2017,"15,600,231"
December 2017,"15,690,724"
January 2018,"15,805,637"
February 2018,"15,643,345"
March 2018,"15,628,063"
April 2018,"15,597,932"
May 2018,"15,563,132"
June 2018,"15,438,583"
July 2018,"15,448,246"
August 2018,"15,388,683"
September 2018,"15,269,032"
October 2018,"15,335,170"
November 2018,"15,223,609"
December 2018,"15,151,153"
January 2019,"15,464,581"
February 2019,"15,448,306"
March 2019,"15,439,030"
April 2019,"15,462,070"
May 2019,"15,399,528"
June 2019,"15,269,635"
July 2019,"15,037,252"
August 2019,"15,518,823"
September 2019,"15,455,475"
October 2019,"15,506,627"
November 2019,"15,430,736"
December 2019,"15,398,703"
January 2020,"15,622,036"
February 2020,"15,542,456"
March 2020,"15,545,838"
April 2020,"16,122,919"
May 2020,"16,440,132"
June 2020,"16,755,755"
July 2020,"17,166,056"
August 2020,"17,501,260"
September 2020,"17,740,750"
October 2020,"18,837,468"
November 2020,"18,498,364"
December 2020,"18,905,493"
January 2021,"19,346,158"
February 2021,"19,570,667"
March 2021,"19,782,431"
April 2021,"20,038,831"
May 2021,"20,210,139"
June 2021,"20,354,443"
July 2021,"20,652,351"
August 2021,"20,868,398"
September 2021,"21,033,779"
October 2021,"21,361,605"
November 2021,"21,561,580"
December 2021,"21,763,490"
January 2022,"22,009,309"
February 2022,"22,150,881"
March 2022,"22,299,155"
April 2022,"33,144,607"
May 2022,"22,730,436"
June 2022,"22,894,107"
July 2022,"23,048,691"
August 2022,"23,274,555"
September 2022,"23,433,617"
October 2022,"23,680,546"
November 2022,"23,868,305"
December 2022,"24,052,258"
January 2023,"24,374,903"
February 2023,"24,514,568"
March 2023,"24,814,965"
April 2023,"24,740,263"
May 2023,"24,769,169"
June 2023,"24,526,226"
July 2023,"24,408,927"
August 2023,"24,015,508"
September 2023,"23,634,543"
October 2023,"23,264,112"
November 2023,"22,838,678"
December 2023,"22,731,066"
January 2024,"22,604,814"
February 2024,"22,329,599"
March 2024,"21,988,689"
April 2024,"21,720,972"
May 2024,"21,339,749"
June 2024,"20,918,697"
