area,topic,category,sub_category,provider_type,metric,period_type,data_year,value,bound,source,source_tab,source_origin,release_date,is_latest
Medicare,Enrollment,Parts A and/or B,Total,,enrollment,CY,2019,61500000,,CMSFastFactsNov2021.xlsx,Populations,CMS/Office of Enterprise Data & Analytics/Office of the Actuary,2021-11-01,FALSE
Medicare,Enrollment,Parts A and/or B,Aged,,enrollment,CY,2019,53000000,,CMSFastFactsNov2021.xlsx,Populations,CMS/Office of Enterprise Data & Analytics/Office of the Actuary,2021-11-01,FALSE
Medicare,Enrollment,Parts A and/or B,Disabled,,enrollment,CY,2019,8500000,,CMSFastFactsNov2021.xlsx,Populations,CMS/Office of Enterprise Data & Analytics/Office of the Actuary,2021-11-01,FALSE
Medicare,Enrollment,Parts A and/or B,Original Medicare Enrollment,,enrollment,CY,2019,38600000,,CMSFastFactsNov2021.xlsx,Populations,CMS/Office of Enterprise Data & Analytics/Office of the Actuary,2021-11-01,FALSE
Medicare,Enrollment,Parts A and/or B,MA & Other Health Plan Enrollment,,enrollment,CY,2019,22900000,,CMSFastFactsNov2021.xlsx,Populations,CMS/Office of Enterprise Data & Analytics/Office of the Actuary,2021-11-01,FALSE
Medicare,Enrollment,Parts A and/or B,MA Enrollment,,enrollment,CY,2019,22200000,,CMSFastFactsNov2021.xlsx,Populations,CMS/Office of Enterprise Data & Analytics/Office of the Actuary,2021-11-01,FALSE
Medicare,Enrollment,Part D,Total,,enrollment,CY,2019,45800000,,CMSFastFactsNov2021.xlsx,Populations,CMS/Office of Enterprise Data & Analytics/Office of the Actuary,2021-11-01,FALSE
Medicaid & CHIP,Enrollment,Medicaid & CHIP,Total,,enrollment,FY,2018,73900000,,CMSFastFactsNov2021.xlsx,Populations,CMS/Office of Enterprise Data & Analytics/Office of the Actuary,2021-11-01,FALSE
Medicaid & CHIP,Enrollment,Medicaid & CHIP,Aged,,enrollment,FY,2018,6000000,,CMSFastFactsNov2021.xlsx,Populations,CMS/Office of Enterprise Data & Analytics/Office of the Actuary,2021-11-01,FALSE
Medicaid & CHIP,Enrollment,Medicaid & CHIP,Blind/Disabled,,enrollment,FY,2018,10700000,,CMSFastFactsNov2021.xlsx,Populations,CMS/Office of Enterprise Data & Analytics/Office of the Actuary,2021-11-01,FALSE
Medicaid & CHIP,Enrollment,Medicaid & CHIP,Children,,enrollment,FY,2018,28100000,,CMSFastFactsNov2021.xlsx,Populations,CMS/Office of Enterprise Data & Analytics/Office of the Actuary,2021-11-01,FALSE
Medicaid & CHIP,Enrollment,Medicaid & CHIP,Adults,,enrollment,FY,2018,15600000,,CMSFastFactsNov2021.xlsx,Populations,CMS/Office of Enterprise Data & Analytics/Office of the Actuary,2021-11-01,FALSE
Medicaid & CHIP,Enrollment,Medicaid & CHIP,Expansion Adult,,enrollment,FY,2018,12200000,,CMSFastFactsNov2021.xlsx,Populations,CMS/Office of Enterprise Data & Analytics/Office of the Actuary,2021-11-01,FALSE
Medicaid & CHIP,Enrollment,Medicaid & CHIP,Total,,enrollment,FY,2018,7000000,,CMSFastFactsNov2021.xlsx,Populations,CMS/Office of Enterprise Data & Analytics/Office of the Actuary,2021-11-01,FALSE
Medicare,Utilization,Total (A and/or B),Total,,persons_served,CY,2019,34300000,,CMSFastFactsNov2021.xlsx,Medicare Utilization,CMS/Office of Enterprise Data & Analytics,2021-11-01,FALSE
Medicare,Utilization,Total (A and/or B),Total,,payments,CY,2019,400200000000,,CMSFastFactsNov2021.xlsx,Medicare Utilization,CMS/Office of Enterprise Data & Analytics,2021-11-01,FALSE
Medicare,Utilization,Part A,Total,,persons_served,CY,2019,7500000,,CMSFastFactsNov2021.xlsx,Medicare Utilization,CMS/Office of Enterprise Data & Analytics,2021-11-01,FALSE
Medicare,Utilization,Part A,Total,,payments,CY,2019,193300000000,,CMSFastFactsNov2021.xlsx,Medicare Utilization,CMS/Office of Enterprise Data & Analytics,2021-11-01,FALSE
Medicare,Utilization,Part A,Inpatient Hospital,,persons_served,CY,2019,6300000,,CMSFastFactsNov2021.xlsx,Medicare Utilization,CMS/Office of Enterprise Data & Analytics,2021-11-01,FALSE
Medicare,Utilization,Part A,Inpatient Hospital,,payments,CY,2019,138500000000,,CMSFastFactsNov2021.xlsx,Medicare Utilization,CMS/Office of Enterprise Data & Analytics,2021-11-01,FALSE
Medicare,Utilization,Part A,Skilled Nursing Facility,,persons_served,CY,2019,1600000,,CMSFastFactsNov2021.xlsx,Medicare Utilization,CMS/Office of Enterprise Data & Analytics,2021-11-01,FALSE
Medicare,Utilization,Part A,Skilled Nursing Facility,,payments,CY,2019,27100000000,,CMSFastFactsNov2021.xlsx,Medicare Utilization,CMS/Office of Enterprise Data & Analytics,2021-11-01,FALSE
Medicare,Utilization,Part A,Home Health Agency,,persons_served,CY,2019,1500000,,CMSFastFactsNov2021.xlsx,Medicare Utilization,CMS/Office of Enterprise Data & Analytics,2021-11-01,FALSE
Medicare,Utilization,Part A,Home Health Agency,,payments,CY,2019,6700000000,,CMSFastFactsNov2021.xlsx,Medicare Utilization,CMS/Office of Enterprise Data & Analytics,2021-11-01,FALSE
Medicare,Utilization,Part A,Hospice,,persons_served,CY,2019,1600000,,CMSFastFactsNov2021.xlsx,Medicare Utilization,CMS/Office of Enterprise Data & Analytics,2021-11-01,FALSE
Medicare,Utilization,Part A,Hospice,,payments,CY,2019,20900000000,,CMSFastFactsNov2021.xlsx,Medicare Utilization,CMS/Office of Enterprise Data & Analytics,2021-11-01,FALSE
Medicare,Utilization,Part B,Total,,persons_served,CY,2019,33700000,,CMSFastFactsNov2021.xlsx,Medicare Utilization,CMS/Office of Enterprise Data & Analytics,2021-11-01,FALSE
Medicare,Utilization,Part B,Total,,payments,CY,2019,207000000000,,CMSFastFactsNov2021.xlsx,Medicare Utilization,CMS/Office of Enterprise Data & Analytics,2021-11-01,FALSE
Medicare,Utilization,Part B,Physician/DME,,persons_served,CY,2019,33200000.000000004,,CMSFastFactsNov2021.xlsx,Medicare Utilization,CMS/Office of Enterprise Data & Analytics,2021-11-01,FALSE
Medicare,Utilization,Part B,Physician/DME,,payments,CY,2019,114800000000,,CMSFastFactsNov2021.xlsx,Medicare Utilization,CMS/Office of Enterprise Data & Analytics,2021-11-01,FALSE
Medicare,Utilization,Part B,Outpatient,,persons_served,CY,2019,25400000,,CMSFastFactsNov2021.xlsx,Medicare Utilization,CMS/Office of Enterprise Data & Analytics,2021-11-01,FALSE
Medicare,Utilization,Part B,Outpatient,,payments,CY,2019,81000000000,,CMSFastFactsNov2021.xlsx,Medicare Utilization,CMS/Office of Enterprise Data & Analytics,2021-11-01,FALSE
Medicare,Utilization,Part B,Home Health Agency,,persons_served,CY,2019,1900000,,CMSFastFactsNov2021.xlsx,Medicare Utilization,CMS/Office of Enterprise Data & Analytics,2021-11-01,FALSE
